Fecha	PAH
1.13E+03	             NaN
1.13E+03	17.00
1.13E+03	             NaN
1.14E+03	             NaN
1.14E+03	             NaN
1.14E+03	             NaN
1.14E+03	             NaN
1.14E+03	             NaN
1.14E+03	             NaN
1.14E+03	5.00
1.14E+03	             NaN
1.14E+03	             NaN
1.14E+03	             NaN
1.15E+03	             NaN
1.15E+03	             NaN
1.15E+03	             NaN
1.15E+03	             NaN
1.15E+03	9.00
1.15E+03	             NaN
1.15E+03	             NaN
1.15E+03	             NaN
1.15E+03	             NaN
1.15E+03	             NaN
1.16E+03	             NaN
1.16E+03	             NaN
1.16E+03	13.00
1.16E+03	             NaN
1.16E+03	             NaN
1.20E+03	             NaN
1.20E+03	             NaN
1.20E+03	             NaN
1.20E+03	             NaN
1.20E+03	             NaN
1.21E+03	             NaN
1.21E+03	             NaN
1.21E+03	             NaN
1.21E+03	             NaN
1.21E+03	             NaN
1.21E+03	             NaN
1.21E+03	             NaN
1.21E+03	             NaN
1.21E+03	10.00
1.21E+03	             NaN
1.22E+03	             NaN
1.22E+03	             NaN
1.22E+03	             NaN
1.22E+03	             NaN
1.22E+03	             NaN
1.22E+03	             NaN
1.22E+03	             NaN
1.22E+03	             NaN
1.22E+03	             NaN
1.22E+03	             NaN
1.23E+03	             NaN
1.23E+03	             NaN
1.23E+03	             NaN
1.23E+03	             NaN
1.23E+03	8.00
1.23E+03	             NaN
1.23E+03	             NaN
1.23E+03	             NaN
1.23E+03	             NaN
1.23E+03	             NaN
1.24E+03	             NaN
1.24E+03	             NaN
1.24E+03	12.00
1.24E+03	             NaN
1.24E+03	             NaN
1.24E+03	             NaN
1.24E+03	             NaN
1.24E+03	             NaN
1.24E+03	             NaN
1.24E+03	             NaN
1.25E+03	2.00
1.25E+03	             NaN
1.25E+03	             NaN
1.25E+03	             NaN
1.25E+03	             NaN
1.25E+03	             NaN
1.25E+03	             NaN
1.25E+03	             NaN
1.25E+03	8.00
1.25E+03	             NaN
1.26E+03	             NaN
1.26E+03	             NaN
1.26E+03	             NaN
1.26E+03	             NaN
1.26E+03	             NaN
1.30E+03	             NaN
1.30E+03	12.00
1.30E+03	             NaN
1.30E+03	             NaN
1.30E+03	             NaN
1.31E+03	             NaN
1.31E+03	             NaN
1.31E+03	             NaN
1.31E+03	             NaN
1.31E+03	13.00
1.31E+03	             NaN
1.31E+03	             NaN
1.31E+03	             NaN
1.31E+03	             NaN
1.31E+03	             NaN
1.32E+03	             NaN
1.32E+03	             NaN
1.32E+03	6.00
1.32E+03	             NaN
1.32E+03	             NaN
1.32E+03	             NaN
1.32E+03	             NaN
1.32E+03	             NaN
1.32E+03	             NaN
1.32E+03	             NaN
1.33E+03	             NaN
1.33E+03	             NaN
1.33E+03	             NaN
1.33E+03	             NaN
1.33E+03	             NaN
1.33E+03	             NaN
1.33E+03	             NaN
1.33E+03	             NaN
1.33E+03	10.00
1.33E+03	             NaN
1.34E+03	             NaN
1.34E+03	             NaN
1.34E+03	             NaN
1.34E+03	             NaN
1.34E+03	             NaN
1.34E+03	             NaN
1.34E+03	20.00
1.34E+03	             NaN
1.34E+03	             NaN
1.34E+03	             NaN
1.35E+03	             NaN
1.35E+03	             NaN
1.35E+03	             NaN
1.35E+03	             NaN
1.35E+03	6.00
1.35E+03	             NaN
1.35E+03	             NaN
1.35E+03	             NaN
1.35E+03	             NaN
1.35E+03	             NaN
1.36E+03	             NaN
1.36E+03	             NaN
1.36E+03	1.00
1.36E+03	             NaN
1.36E+03	             NaN
1.40E+03	             NaN
1.40E+03	             NaN
1.40E+03	             NaN
1.40E+03	             NaN
1.40E+03	             NaN
1.41E+03	6.00
1.41E+03	             NaN
1.41E+03	             NaN
1.41E+03	             NaN
1.41E+03	             NaN
1.41E+03	             NaN
1.41E+03	             NaN
1.41E+03	             NaN
1.41E+03	11.00
1.41E+03	             NaN
1.42E+03	             NaN
